length,emoji_count,hashtag_count,exclamation_count,question_count,capitalized_word_count,sentence_count,avg_word_length,verb_count,noun_count,adjective_count,entity_count,has_numerical_list,word_count,buzzword_count,buzzword_ratio,humble_brag_count,personal_pronouns,motivation_score,excessive_punctuation,has_call_to_action,starts_with_number,contains_money_reference,sentiment_polarity,sentiment_subjectivity,is_extemely_positive,cringe_score
541,0,0,0,0,1,2,5.3896103896103895,7,26,13,11,0,93,0,0.0,0,0,0,0,0,0,1,0.23333333333333336,0.3737179487179487,0,2
2236,1,0,1,0,0,25,4.692934782608695,40,87,35,31,0,419,0,0.0,0,5,0,0,1,1,1,0.06932225913621261,0.4828981173864895,0,0
981,2,0,2,2,0,11,5.190476190476191,22,37,17,5,0,173,0,0.0,0,0,0,0,1,0,1,0.12089898989898992,0.46748096348096363,0,3
853,2,0,1,2,0,9,4.9185185185185185,24,44,7,5,0,157,0,0.0,0,9,0,0,1,1,1,0.054374999999999986,0.46333333333333326,0,130
956,2,0,1,0,0,8,5.256944444444445,26,48,10,7,0,165,0,0.0,0,5,2,0,1,0,1,0.16737637362637361,0.4509615384615384,0,32
879,0,0,1,0,0,14,3.9921259842519685,22,30,7,9,0,178,0,0.0,0,6,0,0,1,0,1,0.06354166666666666,0.390625,0,16
2046,1,0,3,0,0,22,4.417127071823204,52,94,31,24,0,399,0,0.0,0,14,0,0,1,1,1,-0.002802910937102123,0.44112235803412275,0,10
965,1,0,0,2,0,15,3.712707182320442,27,40,12,15,0,226,0,0.0,0,5,0,0,1,0,1,-0.05876068376068376,0.2709401709401709,0,2
350,1,0,0,1,0,6,3.8181818181818183,8,16,5,2,0,80,0,0.0,0,1,0,0,1,0,1,0.18333333333333335,0.6541666666666667,0,830
593,1,0,0,0,0,8,4.636363636363637,13,31,9,6,0,115,0,0.0,0,1,0,0,0,0,1,0.008499999999999997,0.604,0,23859
453,3,0,0,0,0,15,3.3297872340425534,13,22,4,7,0,117,0,0.0,0,1,0,0,0,0,1,0.76,0.4,0,30
1433,0,0,9,0,0,23,4.239543726235741,54,62,10,10,0,291,0,0.0,2,20,0,0,1,0,1,-0.049362990810359206,0.33905597326649956,0,0
1026,0,0,0,1,0,12,4.274193548387097,27,38,9,5,0,207,0,0.0,0,6,0,0,0,0,0,-0.029365079365079365,0.4935254803675857,0,0
2194,1,0,1,0,0,23,4.5710382513661205,40,81,34,31,0,418,0,0.0,0,5,0,0,1,0,1,0.07772606463304138,0.4527712674921978,0,0
991,2,0,1,0,0,12,4.91875,23,42,19,11,0,181,0,0.0,0,1,0,0,1,1,1,-0.06285130718954249,0.437483660130719,0,0
664,2,0,1,0,1,14,4.532110091743119,12,35,15,9,0,137,1,0.0072992700729927005,0,5,1,0,1,0,1,0.1463512677798392,0.5468614718614718,0,11
903,0,0,1,2,0,16,3.964497041420118,27,25,11,8,0,199,0,0.0,0,9,0,0,1,0,1,0.21201298701298701,0.5069430569430569,0,150
